milepost-codelet-mibench-automotive-bitcount-src-bitcnts-codelet-1-1/bitcnts.codelet__1/astex_codelet__1,2803
milepost-codelet-mibench-automotive-bitcount-src-bitcnts-codelet-1-1/bitcnts.codelet__1.wrapper/main,7279
milepost-codelet-mibench-automotive-basicmath-isqrt-codelet-1-1/isqrt.codelet__1.wrapper/main,10801
milepost-codelet-mibench-automotive-basicmath-isqrt-codelet-1-1/isqrt.codelet__1/astex_codelet__1,3705
shared-bzip2-1.0.5/compress/bsFinishWrite,2204
shared-bzip2-1.0.5/compress/makeMaps_e,2403
shared-bzip2-1.0.5/compress/bsW,3204
shared-bzip2-1.0.5/compress/BZ2_compressBlock,14389
shared-bzip2-1.0.5/decompress/makeMaps_d,2403
shared-bzip2-1.0.5/blocksort/fallbackSimpleSort,6104
shared-bzip2-1.0.5/blocksort/BZ2_blockSort,12040
shared-bzip2-1.0.5/blocksort/mmed3,2006
shared-bzip2-1.0.5/bzip2/cleanUpAndFail,8920
shared-bzip2-1.0.5/bzip2/fileExists,2154
shared-bzip2-1.0.5/bzip2/uInt64_isZero,2403
shared-bzip2-1.0.5/bzip2/myfeof,2051
shared-bzip2-1.0.5/bzip2/showFileNames,1396
shared-bzip2-1.0.5/bzip2/saveInputFileMetaInfo,1751
shared-bzip2-1.0.5/bzip2/applySavedTimeInfoToOutputFile,1913
shared-bzip2-1.0.5/bzip2/countHardLinks,1905
shared-bzip2-1.0.5/bzip2/mySIGSEGVorSIGBUScatcher,3052
shared-bzip2-1.0.5/bzip2/hasSuffix,3261
shared-bzip2-1.0.5/bzip2/snocString,4180
shared-bzip2-1.0.5/bzip2/uInt64_toAscii,4040
shared-bzip2-1.0.5/bzip2/myMalloc,1764
shared-bzip2-1.0.5/bzip2/setExit,1503
shared-bzip2-1.0.5/bzip2/uInt64_to_double,3602
shared-bzip2-1.0.5/bzip2/notAStandardFile,2390
shared-bzip2-1.0.5/bzip2/cadvise,1273
shared-bzip2-1.0.5/bzip2/fopen_output_safely,3045
shared-bzip2-1.0.5/bzip2/applySavedFileAttrToOutputFile,2094
shared-bzip2-1.0.5/bzip2/addFlagsFromEnvVar,8006
shared-bzip2-1.0.5/bzip2/pad,3662
shared-bzip2-1.0.5/bzip2/compressedStreamEOF,2092
shared-bzip2-1.0.5/bzip2/copyFileName,2953
shared-bzip2-1.0.5/bzip2/uInt64_qrm10,5204
shared-bzip2-1.0.5/bzip2/mapSuffix,3665
shared-bzip2-1.0.5/huffman/BZ2_hbAssignCodes,3103
shared-bzip2-1.0.5/bzlib/BZ2_indexIntoF,2503
shared-bzip2-1.0.5/bzlib/BZ2_bzwrite,2073
shared-bzip2-1.0.5/bzlib/prepare_new_block,2204
shared-bzip2-1.0.5/bzlib/myfeof,2051
shared-bzip2-1.0.5/bzlib/BZ2_bz__AssertH__fail,2663
shared-bzip2-1.0.5/bzlib/handle_compress,11826
shared-bzip2-1.0.5/bzlib/BZ2_bzDecompressEnd,9143
shared-bzip2-1.0.5/bzlib/default_bzfree,1496
shared-bzip2-1.0.5/bzlib/BZ2_bzerror,2303
shared-bzip2-1.0.5/bzlib/BZ2_bzDecompressInit,9258
shared-bzip2-1.0.5/bzlib/BZ2_bzCompressInit,22378
shared-bzip2-1.0.5/bzlib/flush_RL,1893
shared-bzip2-1.0.5/bzlib/BZ2_bzCompressEnd,9143
shared-bzip2-1.0.5/bzlib/BZ2_bzReadGetUnused,4008
shared-bzip2-1.0.5/bzlib/BZ2_bzclose,4532
shared-bzip2-1.0.5/bzlib/add_pair_to_block,7806
shared-bzip2-1.0.5/bzlib/copy_output_until_stop,3703
shared-bzip2-1.0.5/bzlib/BZ2_bzBuffToBuffDecompress,8600
shared-bzip2-1.0.5/bzlib/BZ2_bzReadClose,5510
shared-bzip2-1.0.5/bzlib/BZ2_bzread,2851
shared-bzip2-1.0.5/bzlib/BZ2_bzBuffToBuffCompress,8951
shared-bzip2-1.0.5/bzlib/isempty_RL,2203
milepost-codelet-mibench-telecomm-fft-fourierf-codelet-3-1/fourierf.codelet__3/astex_codelet__3,19203
milepost-codelet-mibench-telecomm-fft-fourierf-codelet-3-1/fourierf.codelet__3.wrapper/main,7796
milepost-codelet-mibench-consumer-tiffmedian-src-tiffmedian-codelet-4-1/tiffmedian.codelet__4.wrapper/main,8545
milepost-codelet-mibench-consumer-tiffmedian-src-tiffmedian-codelet-4-1/tiffmedian.codelet__4/astex_codelet__4,5304
polybench-cpu-gramschmidt/gramschmidt/init_array,11403
polybench-cpu-gramschmidt/gramschmidt/kernel_gramschmidt,10812
polybench-cpu-gramschmidt/gramschmidt/main,7719
polybench-cpu-gramschmidt/gramschmidt/absVal,2104
polybench-cpu-gramschmidt/gramschmidt/percentDiff,5010
polybench-cpu-medley-reg-detect/reg_detect/init_array,9103
polybench-cpu-medley-reg-detect/reg_detect/main,9025
polybench-cpu-medley-reg-detect/reg_detect/print_array,4564
polybench-cpu-medley-reg-detect/reg_detect/absVal,2104
polybench-cpu-medley-reg-detect/reg_detect/percentDiff,5010
milepost-codelet-mibench-automotive-susan-e-src-susan-codelet-2-1/susan.codelet__2.wrapper/main,9022
cbench-telecom-adpcm-c/rawcaudio/main,7583
cbench-telecom-adpcm-c/adpcm/adpcm_decoder,6005
cbench-telecom-adpcm-c/adpcm/adpcm_coder,8004
milepost-codelet-mibench-consumer-mad-src-layer3-codelet-6-1/layer3.codelet__6/astex_codelet__6,4603
milepost-codelet-mibench-consumer-mad-src-layer3-codelet-6-1/layer3.codelet__6.wrapper/main,9868
milepost-codelet-mibench-consumer-tiffmedian-src-tiffmedian-codelet-5-1/tiffmedian.codelet__5/astex_codelet__5,4203
milepost-codelet-mibench-consumer-tiffmedian-src-tiffmedian-codelet-5-1/tiffmedian.codelet__5.wrapper/main,11741
cbench-network-dijkstra/dijkstra_large/dijkstra,7933
cbench-network-dijkstra/dijkstra_large/dequeue,2663
cbench-network-dijkstra/dijkstra_large/enqueue,4656
cbench-network-dijkstra/dijkstra_large/print_path,2266
cbench-network-dijkstra/dijkstra_large/main,15321
polybench-cpu-trisolv/trisolv/init_array,7603
polybench-cpu-trisolv/trisolv/kernel_trisolv,5805
polybench-cpu-trisolv/trisolv/main,7074
polybench-cpu-trisolv/trisolv/print_array,3040
polybench-cpu-trisolv/trisolv/absVal,2104
polybench-cpu-trisolv/trisolv/percentDiff,5010
milepost-codelet-mibench-consumer-tiffmedian-src-tiffmedian-codelet-3-1/tiffmedian.codelet__3/astex_codelet__3,2903
milepost-codelet-mibench-consumer-tiffmedian-src-tiffmedian-codelet-3-1/tiffmedian.codelet__3.wrapper/main,8545
milepost-codelet-mibench-consumer-lame-src-newmdct-codelet-10-1/newmdct.codelet__10.wrapper/main,9947
milepost-codelet-mibench-consumer-lame-src-newmdct-codelet-10-1/newmdct.codelet__10/astex_codelet__10,14003
milepost-codelet-mibench-consumer-tiffdither-src-tiffdither-codelet-1-1/tiffdither.codelet__1.wrapper/main,9235
milepost-codelet-mibench-consumer-tiffdither-src-tiffdither-codelet-1-1/tiffdither.codelet__1/astex_codelet__1,9111
milepost-codelet-mibench-network-dijkstra-src-dijkstra-large-codelet-5-1/dijkstra_large.codelet__5.wrapper/main,7279
milepost-codelet-mibench-network-dijkstra-src-dijkstra-large-codelet-5-1/dijkstra_large.codelet__5/astex_codelet__5,2403
milepost-codelet-mibench-office-ghostscript-src-gdevpbm-codelet-1-1/gdevpbm.codelet__1.wrapper/main,10265
milepost-codelet-mibench-office-ghostscript-src-gdevpbm-codelet-1-1/gdevpbm.codelet__1/astex_codelet__1,3404
milepost-codelet-mibench-consumer-lame-src-psymodel-codelet-17-1/psymodel.codelet__17.wrapper/main,54482
milepost-codelet-mibench-office-rsynth-src-nsynth-codelet-9-1/nsynth.codelet__9/astex_codelet__9,2703
milepost-codelet-mibench-office-rsynth-src-nsynth-codelet-9-1/nsynth.codelet__9.wrapper/main,9216
milepost-codelet-mibench-consumer-jpeg-c-src-jcdctmgr-codelet-13-1/jcdctmgr.codelet__13/astex_codelet__13,6004
milepost-codelet-mibench-consumer-jpeg-c-src-jcdctmgr-codelet-13-1/jcdctmgr.codelet__13.wrapper/main,8482
milepost-codelet-mibench-consumer-lame-src-takehiro-codelet-5-1/takehiro.codelet__5/astex_codelet__5,3603
milepost-codelet-mibench-consumer-lame-src-takehiro-codelet-5-1/takehiro.codelet__5.wrapper/main,9944
polybench-cpu-symm/symm/init_array,11303
polybench-cpu-symm/symm/main,7825
polybench-cpu-symm/symm/print_array,4615
polybench-cpu-symm/symm/absVal,2104
polybench-cpu-symm/symm/percentDiff,5010
polybench-cpu-symm/symm/kernel_symm,6303
milepost-codelet-mibench-consumer-tiffmedian-src-tiffmedian-codelet-6-1/tiffmedian.codelet__6.wrapper/main,9051
milepost-codelet-mibench-consumer-tiffmedian-src-tiffmedian-codelet-6-1/tiffmedian.codelet__6/astex_codelet__6,3505
milepost-codelet-mibench-automotive-bitcount-src-bitcnt-1-codelet-2-1/bitcnt_1.codelet__2/astex_codelet__2,2203
milepost-codelet-mibench-automotive-bitcount-src-bitcnt-1-codelet-2-1/bitcnt_1.codelet__2.wrapper/main,7615
milepost-codelet-mibench-telecomm-gsm-src-rpe-codelet-4-1/rpe.codelet__4/astex_codelet__4,4606
milepost-codelet-mibench-telecomm-gsm-src-rpe-codelet-4-1/rpe.codelet__4.wrapper/main,7153
cbench-telecom-adpcm-d/rawdaudio/main,6991
