milepost-codelet-mibench-automotive-bitcount-src-bitcnts-codelet-1-1/bitcnts.codelet__1/astex_codelet__1,2376.103
milepost-codelet-mibench-automotive-bitcount-src-bitcnts-codelet-1-1/bitcnts.codelet__1.wrapper/main,376051340769.076
milepost-codelet-mibench-automotive-basicmath-isqrt-codelet-1-1/isqrt.codelet__1.wrapper/main,31927840647.864
milepost-codelet-mibench-automotive-basicmath-isqrt-codelet-1-1/isqrt.codelet__1/astex_codelet__1,61850.543
shared-bzip2-1.0.5/compress/makeMaps_e,34004.908
shared-bzip2-1.0.5/compress/BZ2_compressBlock,787.303
shared-bzip2-1.0.5/compress/bsW,43559.176
shared-bzip2-1.0.5/compress/bsFinishWrite,42869.549
shared-bzip2-1.0.5/decompress/makeMaps_d,191369.165
shared-bzip2-1.0.5/blocksort/fallbackSimpleSort,1156356.495
shared-bzip2-1.0.5/blocksort/BZ2_blockSort,12897.129
shared-bzip2-1.0.5/blocksort/mmed3,255.442
shared-bzip2-1.0.5/bzip2/addFlagsFromEnvVar,0.000
shared-bzip2-1.0.5/bzip2/uInt64_isZero,11294.489
shared-bzip2-1.0.5/bzip2/uInt64_toAscii,43173.187
shared-bzip2-1.0.5/bzip2/mapSuffix,156.937
shared-bzip2-1.0.5/bzip2/fopen_output_safely,111.251
shared-bzip2-1.0.5/bzip2/snocString,111.251
shared-bzip2-1.0.5/bzip2/countHardLinks,113.562
shared-bzip2-1.0.5/bzip2/cleanUpAndFail,203.013
shared-bzip2-1.0.5/bzip2/cadvise,0.000
shared-bzip2-1.0.5/bzip2/myMalloc,0.000
shared-bzip2-1.0.5/bzip2/pad,14539.226
shared-bzip2-1.0.5/bzip2/uInt64_qrm10,89086.323
shared-bzip2-1.0.5/bzip2/saveInputFileMetaInfo,0.000
shared-bzip2-1.0.5/bzip2/notAStandardFile,156.937
shared-bzip2-1.0.5/bzip2/hasSuffix,156.937
shared-bzip2-1.0.5/bzip2/showFileNames,0.000
shared-bzip2-1.0.5/bzip2/fileExists,592.216
shared-bzip2-1.0.5/bzip2/applySavedTimeInfoToOutputFile,0.000
shared-bzip2-1.0.5/bzip2/mySIGSEGVorSIGBUScatcher,47.800
shared-bzip2-1.0.5/bzip2/uInt64_to_double,64301.922
shared-bzip2-1.0.5/bzip2/applySavedFileAttrToOutputFile,0.000
shared-bzip2-1.0.5/bzip2/copyFileName,0.000
shared-bzip2-1.0.5/bzip2/setExit,0.000
shared-bzip2-1.0.5/bzip2/compressedStreamEOF,30.008
shared-bzip2-1.0.5/bzip2/myfeof,156.937
shared-bzip2-1.0.5/huffman/BZ2_hbAssignCodes,1201376.813
shared-bzip2-1.0.5/bzlib/prepare_new_block,22974.010
shared-bzip2-1.0.5/bzlib/BZ2_bzerror,449.836
shared-bzip2-1.0.5/bzlib/BZ2_bzReadGetUnused,0.000
shared-bzip2-1.0.5/bzlib/BZ2_bzCompressEnd,113.562
shared-bzip2-1.0.5/bzlib/copy_output_until_stop,45716.544
shared-bzip2-1.0.5/bzlib/BZ2_bzBuffToBuffDecompress,113.562
shared-bzip2-1.0.5/bzlib/BZ2_bzclose,0.000
shared-bzip2-1.0.5/bzlib/BZ2_bzwrite,113.562
shared-bzip2-1.0.5/bzlib/default_bzfree,435.279
shared-bzip2-1.0.5/bzlib/BZ2_bzCompressInit,113.562
shared-bzip2-1.0.5/bzlib/BZ2_bzReadClose,96.021
shared-bzip2-1.0.5/bzlib/BZ2_bz__AssertH__fail,30.008
shared-bzip2-1.0.5/bzlib/BZ2_bzBuffToBuffCompress,113.562
shared-bzip2-1.0.5/bzlib/flush_RL,381.732
shared-bzip2-1.0.5/bzlib/BZ2_bzread,113.562
